1SERVICE#GENERAL	staff	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1SERVICE#GENERAL		They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1FOOD#QUALITY	food	The food was lousy - too sweet or too salty and the portions tiny.
1FOOD#STYLE_OPTIONS	portions	The food was lousy - too sweet or too salty and the portions tiny.
1SERVICE#GENERAL		After all that, they complained to me about the small tip.
1RESTAURANT#GENERAL	place	Avoid this place!
3FOOD#QUALITY	food	I have eaten at Saul, many times, the food is always consistently, outrageously good.
3RESTAURANT#GENERAL	Saul	Saul is the best restaurant on Smith Street and in Brooklyn.
3FOOD#QUALITY	foie gras terrine with figs	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
3FOOD#QUALITY	duck confit	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
3DRINKS#STYLE_OPTIONS	wine list	The wine list is interesting and has many good values.
3DRINKS#PRICES	wine list	The wine list is interesting and has many good values.
3RESTAURANT#PRICES		For the price, you cannot eat this well in Manhattan.
3FOOD#QUALITY		For the price, you cannot eat this well in Manhattan.
1RESTAURANT#GENERAL	restaurant	I was very disappointed with this restaurant.
1SERVICE#GENERAL	cart attendant	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
1SERVICE#GENERAL		I had to ask her three times before she finally came back with the dish Ive requested.
2FOOD#QUALITY	Food	Food was okay, nothing great.
1FOOD#QUALITY	Chow fun	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
1FOOD#QUALITY	pork shu mai	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
1AMBIENCE#GENERAL		Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
1RESTAURANT#GENERAL	place	I/we will never go back to this place again.
3RESTAURANT#GENERAL	Fish	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!
3SERVICE#GENERAL	Service	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
3FOOD#QUALITY	oysters	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
3RESTAURANT#PRICES		Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
3RESTAURANT#GENERAL		You can't go wrong here.
3RESTAURANT#GENERAL	Restaurant Saul	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
3FOOD#QUALITY		Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
3SERVICE#GENERAL	service	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
3AMBIENCE#GENERAL	decor	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
3FOOD#QUALITY	duck breast special	I had the duck breast special on my last visit and it was incredible.
