labels	key_words	review
1RESTAURANT#GENERAL	place	"Judging from previous posts this used to be a good place, but not any longer."
1SERVICE#GENERAL	staff	"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude."
1SERVICE#GENERAL	NULL	"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table."
1FOOD#QUALITY	food	"The food was lousy - too sweet or too salty and the portions tiny."
1SERVICE#GENERAL	NULL	"After all that, they complained to me about the small tip."
1RESTAURANT#GENERAL	place	"Avoid this place!"
3FOOD#QUALITY	food	"I have eaten at Saul, many times, the food is always consistently, outrageously good."
3RESTAURANT#GENERAL	Saul	"Saul is the best restaurant on Smith Street and in Brooklyn."
3FOOD#QUALITY	foie gras terrine with figs	"The duck confit is always amazing and the foie gras terrine with figs was out of this world."
3DRINKS#STYLE_OPTIONS	wine list	"The wine list is interesting and has many good values."
3RESTAURANT#PRICES	NULL	"For the price, you cannot eat this well in Manhattan."
1RESTAURANT#GENERAL	restaurant	"I was very disappointed with this restaurant."
1SERVICE#GENERAL	cart attendant	"Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away."
1SERVICE#GENERAL	NULL	"I had to ask her three times before she finally came back with the dish Ive requested."
2FOOD#QUALITY	Food	"Food was okay, nothing great."
1FOOD#QUALITY	Chow fun	"Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. "
1RESTAURANT#GENERAL	place	"I/we will never go back to this place again."
3RESTAURANT#GENERAL	Fish	"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!"
3SERVICE#GENERAL	Service	"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
3RESTAURANT#GENERAL	NULL	"You can't go wrong here."
3RESTAURANT#GENERAL	Restaurant Saul	"Every time in New York I make it a point to visit Restaurant Saul on Smith Street."
3FOOD#QUALITY	NULL	"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
3FOOD#QUALITY	duck breast special	"I had the duck breast special on my last visit and it was incredible."
3RESTAURANT#GENERAL	NULL	"Can't wait wait for my next visit."
1RESTAURANT#GENERAL	NULL	"And I hate to say this but I doubt I'll ever go back. "
1FOOD#QUALITY	food	"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
3FOOD#QUALITY	Grilled Chicken special with Edamame Puree	"The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree."
3FOOD#QUALITY	Edamame pureed	"I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt)."
1AMBIENCE#GENERAL	place	"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
3DRINKS#STYLE_OPTIONS	sake list	"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
3FOOD#QUALITY	spicy tuna roll	"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
3SERVICE#GENERAL	service	"We went around 9:30 on a Friday and it had died down a bit by then so the service was great!"
3RESTAURANT#GENERAL	pink pony	"we love th pink pony."
3RESTAURANT#GENERAL	spot	"THe perfect spot."
3FOOD#QUALITY	Food	"Food-awesome."
3SERVICE#GENERAL	Service	"Service- friendly and attentive."
3AMBIENCE#GENERAL	Ambiance	"Ambiance- relaxed and stylish."
