不错 质优价廉	不错 质优价廉
收到货衣服不错 	收到货了衣服不错 下次再买
口袋竟然在后面 	口袋竟然在后面 只有一个小口袋
赞卖家	真是不错 这老板很地道和你作生意很舒服 很负责 实惠值 点赞卖家服务很可以 掌柜服务态度也非常的好
服务态度非常好	真是不错 这老板很地道和你作生意很舒服 很负责 实惠值 点赞卖家服务很可以 掌柜服务态度也非常的好
性价比超高	不错 性价比超高 很好        一直相信京东     很好
质量很好	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
是客服	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
推荐大家	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
速度快	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
虽然中间发了一点小	虽然中间发了一点小插曲 但是诚信拉买的时候挑了可以半天 非常非常喜欢
质量很好	快递非常快 质量很好 有弹性 舒适度很好
有弹性	快递非常快 质量很好 有弹性 舒适度很好
舒适度很好	快递非常快 质量很好 有弹性 舒适度很好
发货很快 	发货很快 商品质量也相当行 太喜欢了 所以到现在才看到宝贝价格实惠 朋友也准备让我帮忙帮她买
很快 商品质量	发货很快 商品质量也相当行 太喜欢了 所以到现在才看到宝贝价格实惠 朋友也准备让我帮忙帮她买
起球 	不错不错有前途 很合适 很凉爽 很合适 而且穿起来很舒服 也不起球 各种颜色都有
穿起来运动 日常	穿起来运动 日常都很舒服
质量很好	质量很好   没有异味
没有异味	质量很好   没有异味
舒服布料	这款很修身 穿起来特别舒服～布料也很好 不像那种便宜的料子
便宜料子	这款很修身 穿起来特别舒服～布料也很好 不像那种便宜的料子
有点宽	非常好 就是裤脚有点宽 短跑的时候 容易把内裤露出来
内裤露出	非常好 就是裤脚有点宽 短跑的时候 容易把内裤露出来
速干 穿着跑步 	速干 穿着跑步 舒服又实用
质量太差	质量太差 很照片不符 起球变形
款式好看	衣服款式好看
做工不错 布料也好	做工不错 布料也好 活动穿上刚合适
物流很快 	还行吧 一等价钱一等货 也很不错了 物流很快 满意
紧身款 不喜欢	紧身款 不喜欢的紧身的不要拍
纯棉打底衫 穿着	纯棉打底衫 穿着舒适
