labels,key_words,review
9,个人信息影响,1、泄露个人信息2、电话骚扰影响我的个人生活
35,快递给力,100%全棉，穿的舒服，客服很好，快递给力
31,发货超级快,发货超级快，到货超级快，真的是开启了新世界的大门
23,10天才,10天才收到货
18,太薄了,还可以，就是太薄了
11,客服爱答不理,客服基本机器人  爱搭不理
15,T恤发黄,2件白色T恤发黄
9,窃取个人信息,窃取个人信息，要求销账并赔礼道歉
30,超级保暖,54块买了二件，超值。最主要的是超级保暖，对得起品牌。对得起质量，价值货。
20,17才送到,6.13买的，7.17才送到联系卖家
9,个人电话信息私自泄露,平台私自泄露客户个人电话信息给接单司机
24,尺码合适,T收到啦！质量非常好。实物和卖家图片描述一致。尺码合适。上身效果非常好看。
26,质量非常好,T收到啦！质量非常好。实物和卖家图片描述一致。尺码合适。上身效果非常好看。
30,图片描述一致,T收到啦！质量非常好。实物和卖家图片描述一致。尺码合适。上身效果非常好看。
17,上身效果还可以,T收到啦！质量非常好。实物和卖家图片描述一致。尺码合适。上身效果还可以噢。
25,不褪色衣服洗了,T恤穿了一下很合身，衣服洗了也不褪色，真不错
3,别人穿过这么旧,感觉是别人穿过的，黑色的那件买的标这么旧。
24,手感不错,T恤面料透气，大小合身，颜色非常喜欢，手感也不错，发货速度非常快。
24,大小合身,T恤面料透气，大小合身，颜色非常喜欢，手感也不错，发货速度非常快。
24,面料透气,T恤面料透气，大小合身，颜色非常喜欢，手感也不错，发货速度非常快。
35,发货速度非常快,T恤面料透气，大小合身，颜色非常喜欢，手感也不错，发货速度非常快。
3,布料不好,衣服布料不好
24,面料透气,T恤面料透气，大小合身，颜色还可以吧，手感也不错，发货速度非常快。
24,大小合身,T恤面料透气，大小合身，颜色还可以吧，手感也不错，发货速度非常快。
17,颜色还可以,T恤面料透气，大小合身，颜色还可以吧，手感也不错，发货速度非常快。
3,布料不吸汗,上面说是棉其实布料不吸汗，应该是化纤穿着一点都舒服，只穿了一天两件一起扔掉了。除了快递满意其他都不满意
29,上身效果很好看,T恤衫是全棉的，穿着舒服，做工比较精致，没有多余的线头，上身效果很好看，时尚百搭
26,做工精致,T恤衫是全棉的，穿着舒服，做工比较精致，没有多余的线头，上身效果很好看，时尚百搭
26,做工料子都不错,t恤衫质量很好，有弹性不是特别薄的，做工料子都不错，手感柔软穿着很舒服满意的购物。快递速度昨天下单今天就送到了。
26,质量很好,t恤衫质量很好，有弹性不是特别薄的，做工料子都不错，手感柔软穿着很舒服满意的购物。快递速度昨天下单今天就送到了。
35,快递速度今天就送到了,t恤衫质量很好，有弹性不是特别薄的，做工料子都不错，手感柔软穿着很舒服满意的购物。快递速度昨天下单今天就送到了。
26,不起球,T恤收到了，穿起来很舒服，不起球的面料，京东自营质量一直都给力
3,布料不一样,两件布料不一样！一件很柔软！一件硬梆梆的！
24,穿起来很舒服,T恤收到了，穿起来很舒服，不起球的面料，京东自营质量一直都给力
27,不起球的面料,T恤收到了，穿起来很舒服，不起球的面料，京东自营质量一直都给力
30,京东自营一直都给力,T恤收到了，穿起来很舒服，不起球的面料，京东自营质量一直都给力
29,款式很好看,t恤收到了，质量很好，款式很好看，穿上很舒服。
24,穿上很舒服,t恤收到了，质量很好，款式很好看，穿上很舒服。
26,质量很好,t恤收到了，质量很好，款式很好看，穿上很舒服。
3,布料不好,衣服偏短，布料也不好
0,衣服偏短,衣服偏短，布料也不好
17,舒适：是,是否舒适：是尺码大小：合适材质：较好版型：不错
17,大小：合适,是否舒适：是尺码大小：合适材质：较好版型：不错
17,版型不错,是否舒适：是尺码大小：合适材质：较好版型：不错
3,材料不好,款式版型有严重问题，中国人大多数修长体型，你设计成宽宽肥肥的，设计师难道自己是胖子。我一般不喜欢给差评，确实质量也不行，不够柔软，里面加的绒也不是好的材料。
6,款式版型严重问题,款式版型有严重问题，中国人大多数修长体型，你设计成宽宽肥肥的，设计师难道自己是胖子。我一般不喜欢给差评，确实质量也不行，不够柔软，里面加的绒也不是好的材料。
2,质量也不行,款式版型有严重问题，中国人大多数修长体型，你设计成宽宽肥肥的，设计师难道自己是胖子。我一般不喜欢给差评，确实质量也不行，不够柔软，里面加的绒也不是好的材料。
29,上身效果很好,T恤收到了，质量很好，做工精细，面料柔软舒适，上身效果很好。
24,面料柔软舒适,T恤收到了，质量很好，做工精细，面料柔软舒适，上身效果很好。
26,做工精细,T恤收到了，质量很好，做工精细，面料柔软舒适，上身效果很好。
26,质量很好,T恤收到了，质量很好，做工精细，面料柔软舒适，上身效果很好。
2,做工差,做工差，布兜也没有，布料太薄，袖头简单
