30	不错 质优价廉	不错 质优价廉
35	收到货衣服不错 	收到货了衣服不错 下次再买
18	口袋竟然在后面 	口袋竟然在后面 只有一个小口袋
31	赞卖家	真是不错 这老板很地道和你作生意很舒服 很负责 实惠值 点赞卖家服务很可以 掌柜服务态度也非常的好
32	服务态度非常好	真是不错 这老板很地道和你作生意很舒服 很负责 实惠值 点赞卖家服务很可以 掌柜服务态度也非常的好
30	性价比超高	不错 性价比超高 很好        一直相信京东     很好
26	质量很好	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
32	是客服	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
30	推荐大家	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
35	速度快	好 质量也很好 喜欢 物所值关键是客服态度相当好 推荐大家可以放心购买 客服态度很好可以 速度也快
23	虽然中间发了一点小	虽然中间发了一点小插曲 但是诚信拉买的时候挑了可以半天 非常非常喜欢
26	质量很好	快递非常快 质量很好 有弹性 舒适度很好
24	有弹性	快递非常快 质量很好 有弹性 舒适度很好
24	舒适度很好	快递非常快 质量很好 有弹性 舒适度很好
31	发货很快 	发货很快 商品质量也相当行 太喜欢了 所以到现在才看到宝贝价格实惠 朋友也准备让我帮忙帮她买
35	很快 商品质量	发货很快 商品质量也相当行 太喜欢了 所以到现在才看到宝贝价格实惠 朋友也准备让我帮忙帮她买
26	起球 	不错不错有前途 很合适 很凉爽 很合适 而且穿起来很舒服 也不起球 各种颜色都有
29	穿起来运动 日常	穿起来运动 日常都很舒服
26	质量很好	质量很好   没有异味
27	没有异味	质量很好   没有异味
27	舒服布料	这款很修身 穿起来特别舒服～布料也很好 不像那种便宜的料子
27	便宜料子	这款很修身 穿起来特别舒服～布料也很好 不像那种便宜的料子
12	有点宽	非常好 就是裤脚有点宽 短跑的时候 容易把内裤露出来
12	内裤露出	非常好 就是裤脚有点宽 短跑的时候 容易把内裤露出来
24	速干 穿着跑步 	速干 穿着跑步 舒服又实用
2	质量太差	质量太差 很照片不符 起球变形
29	款式好看	衣服款式好看
26	做工不错 布料也好	做工不错 布料也好 活动穿上刚合适
35	物流很快 	还行吧 一等价钱一等货 也很不错了 物流很快 满意
12	紧身款 不喜欢	紧身款 不喜欢的紧身的不要拍
29	纯棉打底衫 穿着	纯棉打底衫 穿着舒适
35	物流很快 	还会再来的哟 好赞 物流很快 不错的选购物所值 啊 值得拥有下次还回来的
26	质量很好	质量很好 有弹性 不起球 锻炼很舒服 很贴身
24	有弹性	质量很好 有弹性 不起球 锻炼很舒服 很贴身
26	起球 	质量很好 有弹性 不起球 锻炼很舒服 很贴身
2	做工极差	尺码大小 大小不一致材质 做工极差 到处掉线
18	袋子都不够	后面的袋子都不够装手机 好像是个装饰 没有内衬
18	装手机	后面的袋子都不够装手机 好像是个装饰 没有内衬
18	没有内衬	后面的袋子都不够装手机 好像是个装饰 没有内衬
29	款式特别喜欢	收到就穿上了 尺码合适 款式也特别喜欢 做工很好 没有多余的线头 商家发货速度快 非常愉快的一次购物
26	线头 	收到就穿上了 尺码合适 款式也特别喜欢 做工很好 没有多余的线头 商家发货速度快 非常愉快的一次购物
