,0,1,2,3,4,5,6,7,8,9,10,11
0,--,FSD,FSD,FSD,FSD,--,--,FSD,SSD,FSD,FSD,FSD
1,--,--,--,--,FSD,--,--,--,--,FSD,FSD,--
2,--,FSD,--,FSD,FSD,--,--,SSD,--,FSD,FSD,--
3,--,FSD,--,--,FSD,--,--,--,--,FSD,FSD,--
4,--,--,--,--,--,--,--,--,--,--,--,--
5,FSD,FSD,FSD,FSD,FSD,--,--,FSD,SSD,FSD,FSD,FSD
6,FSD,FSD,FSD,FSD,FSD,FSD,--,FSD,FSD,FSD,FSD,FSD
7,--,SSD,--,SSD,FSD,--,--,--,--,SSD,SSD,--
8,--,SSD,SSD,SSD,FSD,--,--,FSD,--,SSD,SSD,SSD
9,--,--,--,--,FSD,--,--,--,--,--,FSD,--
10,--,--,--,--,FSD,--,--,--,--,--,--,--
11,--,FSD,FSD,FSD,FSD,--,--,FSD,--,FSD,FSD,--
