,0,1,2,3,4,5,6,7,8,9,10,11
0,--,FSD,FSD,SSD,FSD,--,SSD,SSD,SSD,FSD,FSD,SSD
1,--,--,--,--,FSD,--,--,--,--,FSD,FSD,--
2,--,FSD,--,--,FSD,--,--,--,--,FSD,FSD,SSD
3,--,FSD,FSD,--,FSD,--,--,--,--,FSD,FSD,FSD
4,--,--,--,--,--,--,--,--,--,FSD,--,--
5,FSD,FSD,FSD,FSD,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
6,--,FSD,FSD,SSD,FSD,--,--,SSD,FSD,FSD,FSD,SSD
7,--,FSD,FSD,SSD,FSD,--,--,--,FSD,FSD,FSD,SSD
8,--,FSD,FSD,SSD,FSD,--,--,--,--,FSD,FSD,SSD
9,--,--,--,--,--,--,--,--,--,--,--,--
10,--,--,--,--,FSD,--,--,--,--,FSD,--,--
11,--,FSD,--,--,FSD,--,--,--,--,FSD,FSD,--
