,0,1,2,3,4,5,6,7,8,9,10,11
0,--,FSD,SSD,FSD,FSD,--,--,--,--,FSD,FSD,FSD
1,--,--,--,--,FSD,--,--,--,--,SSD,SSD,--
2,--,FSD,--,SSD,FSD,--,--,--,--,SSD,SSD,SSD
3,--,SSD,--,--,FSD,--,--,--,--,FSD,FSD,SSD
4,--,--,--,--,--,--,--,--,--,SSD,SSD,--
5,FSD,FSD,FSD,FSD,FSD,--,FSD,--,FSD,FSD,FSD,FSD
6,FSD,FSD,FSD,FSD,FSD,--,--,--,FSD,FSD,FSD,FSD
7,FSD,FSD,FSD,FSD,FSD,FSD,FSD,--,FSD,FSD,FSD,FSD
8,--,FSD,--,FSD,FSD,--,--,--,--,FSD,FSD,FSD
9,--,--,--,--,--,--,--,--,--,--,FSD,--
10,--,--,--,--,--,--,--,--,--,FSD,--,--
11,--,SSD,--,--,FSD,--,--,--,--,FSD,FSD,--
