,0,1,2,3,4,5,6,7,8,9,10,11
0,--,0.90,0.34,0.61,1,--,--,0.36,0.04,1,1,0.24
1,--,--,--,--,1,--,--,--,--,0.78,1,--
2,--,0.55,--,0.26,1,--,--,0.01,--,1,1,--
3,--,0.29,--,--,1,--,--,--,--,1,1,--
4,--,--,--,--,--,--,--,--,--,--,--,--
5,0.05,0.95,0.39,0.66,1,--,--,0.41,0.09,1,1,0.30
6,0.12,1,0.47,0.73,1,0.07,--,0.49,0.16,1,1,0.37
7,--,0.54,--,0.24,1,--,--,--,--,1,1,--
8,--,0.86,0.30,0.57,1,--,--,0.32,--,1,1,0.20
9,--,--,--,--,0.65,--,--,--,--,--,0.63,--
10,--,--,--,--,0.01,--,--,--,--,--,--,--
11,--,0.65,0.09,0.36,1,--,--,0.11,--,1,1,--
