,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,0.00,0.14,1,--,--,--,--,1,1,0.02
1,--,--,--,--,1,--,--,--,--,0.43,0.82,--
2,--,1,--,0.14,1,--,--,--,--,1,1,0.02
3,--,1,--,--,1,--,--,--,--,1,1,--
4,--,--,--,--,--,--,--,--,--,--,--,--
5,0.10,1,0.10,0.25,1,--,--,--,--,1,1,0.13
6,0.17,1,0.17,0.31,1,0.06,--,0.03,--,1,1,0.20
7,0.13,1,0.14,0.28,1,--,--,--,--,1,1,0.16
8,0.28,1,0.28,0.42,1,0.17,0.10,0.14,--,1,1,0.30
9,--,--,--,--,0.64,--,--,--,--,--,0.39,--
10,--,--,--,--,0.24,--,--,--,--,--,--,--
11,--,1,--,0.11,1,--,--,--,--,1,1,--
