,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,--,0.23,1,--,--,--,--,1,1,--
1,--,--,--,--,0.72,--,--,--,--,0.08,0.59,--
2,0.06,1,--,0.30,1,--,--,--,--,1,1,0.04
3,--,0.99,--,--,1,--,--,--,--,1,1,--
4,--,--,--,--,--,--,--,--,--,--,--,--
5,0.35,1,0.29,0.59,1,--,0.03,0.08,--,1,1,0.33
6,0.32,1,0.25,0.55,1,--,--,0.04,--,1,1,0.29
7,0.27,1,0.20,0.50,1,--,--,--,--,1,1,0.24
8,0.45,1,0.39,0.69,1,0.10,0.13,0.18,--,1,1,0.43
9,--,--,--,--,0.63,--,--,--,--,--,0.50,--
10,--,--,--,--,0.13,--,--,--,--,--,--,--
11,--,1,--,0.25,1,--,--,--,--,1,1,--
