,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,0.37,0.53,1,0.11,--,1,0.93,1,1,0.29
1,--,--,--,--,0.57,--,--,--,--,0.69,0.43,--
2,--,1,--,0.15,1,--,--,0.97,0.55,1,1,--
3,--,0.96,--,--,1,--,--,0.82,0.40,1,1,--
4,--,--,--,--,--,--,--,--,--,0.12,--,--
5,--,1,0.26,0.41,1,--,--,1,0.82,1,1,0.18
6,0.10,1,0.48,0.63,1,0.22,--,1,1,1,1,0.40
7,--,0.13,--,--,0.71,--,--,--,--,0.83,0.57,--
8,--,0.56,--,--,1,--,--,0.42,--,1,0.99,--
9,--,--,--,--,--,--,--,--,--,--,--,--
10,--,--,--,--,0.14,--,--,--,--,0.26,--,--
11,--,1,0.07,0.23,1,--,--,1,0.63,1,1,--
