,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,0.19,0.13,1,--,0.01,0.02,0.06,1,1,0.31
1,--,--,--,--,0.76,--,--,--,--,0.81,0.62,--
2,--,1,--,--,1,--,--,--,--,1,1,0.11
3,--,1,0.06,--,1,--,--,--,--,1,1,0.17
4,--,--,--,--,--,--,--,--,--,0.05,--,--
5,0.09,1,0.29,0.23,1,--,0.11,0.12,0.16,1,1,0.41
6,--,1,0.18,0.12,1,--,--,0.01,0.05,1,1,0.3
7,--,1,0.16,0.10,1,--,--,--,0.03,1,1,0.28
8,--,1,0.13,0.07,1,--,--,--,--,1,1,0.24
9,--,--,--,--,--,--,--,--,--,--,--,--
10,--,--,--,--,0.13,--,--,--,--,0.18,--,--
11,--,1,--,--,1,--,--,--,--,1,1,--
