,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,0.29,0.29,1,--,--,0.03,0.25,1,1,0.17
1,--,--,--,--,0.78,--,--,--,--,0.20,0.71,--
2,--,1,--,--,1,--,--,--,--,1,1,--
3,--,1,--,--,1,--,--,--,--,1,1,--
4,--,--,--,--,--,--,--,--,--,--,--,--
5,0.20,1,0.49,0.5,1,--,0.13,0.24,0.46,1,1,0.37
6,0.07,1,0.36,0.36,1,--,--,0.11,0.32,1,1,0.24
7,--,1,0.25,0.25,1,--,--,--,0.21,1,1,0.13
8,--,1,--,--,1,--,--,--,--,1,1,--
9,--,--,--,--,0.57,--,--,--,--,--,0.50,--
10,--,--,--,--,0.07,--,--,--,--,--,--,--
11,--,1,0.12,0.12,1,--,--,--,0.08,1,1,--
