,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,0.57,0.71,1,0.01,0.05,0.78,1,1,1,0.32
1,--,--,--,--,0.84,--,--,--,--,0.28,0.85,--
2,--,0.90,--,0.13,1,--,--,0.20,0.50,1,1,--
3,--,0.77,--,--,1,--,--,0.07,0.37,1,1,--
4,--,--,--,--,--,--,--,--,--,--,0.00,--
5,--,1,0.56,0.69,1,--,0.04,0.77,1,1,1,0.30
6,--,1,0.51,0.65,1,--,--,0.72,1,1,1,0.26
7,--,0.69,--,--,1,--,--,--,0.29,0.98,1,--
8,--,0.40,--,--,1,--,--,--,--,0.68,1,--
9,--,--,--,--,0.56,--,--,--,--,--,0.56,--
10,--,--,--,--,--,--,--,--,--,--,--,--
11,--,1,0.25,0.38,1,--,--,0.46,0.76,1,1,--
