,0,1,2,3,4,5,6,7,8,9,10,11
0,--,0.22,0.00,0.20,1,--,--,--,--,1,1,0.21
1,--,--,--,--,1,--,--,--,--,1,1,--
2,--,0.22,--,0.20,1,--,--,--,--,1,1,0.21
3,--,0.02,--,--,1,--,--,--,--,1,1,0.00
4,--,--,--,--,--,--,--,--,--,0.04,0.04,--
5,0.13,0.36,0.14,0.34,1,--,0.05,--,0.09,1,1,0.35
6,0.08,0.31,0.08,0.29,1,--,--,--,0.04,1,1,0.30
7,0.20,0.43,0.20,0.41,1,0.06,0.11,--,0.16,1,1,0.42
8,--,0.27,--,0.25,1,--,--,--,--,1,1,0.26
9,--,--,--,--,--,--,--,--,--,--,0.0,--
10,--,--,--,--,--,--,--,--,--,0.0,--,--
11,--,0.01,--,--,1,--,--,--,--,1,1,--
