,0,1,2,3,4,5,6,7,8,9,10,11
0,--,FSD,FSD,--,FSD,FSD,FSD,FSD,FSD,SSD,FSD,FSD
1,--,--,--,--,FSD,--,--,--,--,SSD,FSD,--
2,--,FSD,--,--,FSD,--,--,FSD,FSD,SSD,FSD,FSD
3,--,FSD,FSD,--,FSD,FSD,--,FSD,FSD,SSD,FSD,FSD
4,--,--,--,--,--,--,--,--,--,--,--,--
5,--,FSD,--,--,FSD,--,--,FSD,FSD,SSD,FSD,--
6,--,FSD,FSD,--,FSD,FSD,--,FSD,FSD,SSD,FSD,FSD
7,--,--,--,--,FSD,--,--,--,--,SSD,FSD,--
8,--,FSD,--,--,FSD,--,--,SSD,--,SSD,FSD,--
9,--,--,--,--,FSD,--,--,--,--,--,FSD,--
10,--,--,--,--,FSD,--,--,--,--,--,--,--
11,--,FSD,--,--,FSD,--,--,FSD,FSD,SSD,FSD,--
