,0,1,2,3,4,5,6,7,8,9,10,11
0,--,0.92,0.02,0.00,1,0.06,--,0.14,0.19,1,1,0.22
1,--,--,--,--,1,--,--,--,--,1,1,--
2,--,0.89,--,--,1,--,--,0.11,0.16,1,1,0.19
3,--,0.92,--,--,1,--,--,0.13,0.19,1,1,0.22
4,--,--,--,--,--,--,--,--,--,--,--,--
5,--,0.85,--,--,1,--,--,0.07,0.12,1,1,0.16
6,0.13,1,0.16,0.13,1,0.20,--,0.27,0.32,1,1,0.36
7,--,0.78,--,--,1,--,--,--,--,1,1,--
8,--,0.73,--,--,1,--,--,--,--,1,1,--
9,--,--,--,--,0.41,--,--,--,--,--,--,--
10,--,--,--,--,0.45,--,--,--,--,0.03,--,--
11,--,0.69,--,--,1,--,--,--,--,1,1,--
