,0,1,2,3,4,5,6,7,8,9,10,11
0,--,0.99,0.21,--,1,0.27,0.03,1,1,1,1,0.52
1,--,--,--,--,1,--,--,0.07,0.23,1,1,--
2,--,0.78,--,--,1,--,--,0.85,1,1,1,0.31
3,--,1,0.31,--,1,0.37,0.13,1,1,1,1,0.62
4,--,--,--,--,--,--,--,--,--,0.01,0.06,--
5,--,0.71,--,--,1,--,--,0.79,0.95,1,1,0.24
6,--,0.95,0.17,--,1,0.24,--,1,1,1,1,0.48
7,--,--,--,--,1,--,--,--,0.15,1,1,--
8,--,--,--,--,0.86,--,--,--,--,0.87,0.93,--
9,--,--,--,--,--,--,--,--,--,--,--,--
10,--,--,--,--,--,--,--,--,--,--,--,--
11,--,0.47,--,--,1,--,--,0.54,0.70,1,1,--
