,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,0.03,--,1,--,0.01,0.21,0.10,1,1,0.05
1,--,--,--,--,0.97,--,--,--,--,0.92,0.87,--
2,--,1,--,--,1,--,--,0.18,0.07,1,1,0.02
3,--,1,0.16,--,1,--,0.14,0.34,0.23,1,1,0.18
4,--,--,--,--,--,--,--,--,--,--,--,--
5,0.24,1,0.27,0.11,1,--,0.25,0.45,0.34,1,1,0.29
6,--,1,0.01,--,1,--,--,0.19,0.08,1,1,0.03
7,--,0.92,--,--,1,--,--,--,--,1,1,--
8,--,1,--,--,1,--,--,0.10,--,1,1,--
9,--,--,--,--,0.04,--,--,--,--,--,--,--
10,--,--,--,--,0.09,--,--,--,--,0.05,--,--
11,--,1,--,--,1,--,--,0.16,0.05,1,1,--
