,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,--,--,1,--,--,0.26,0.39,1,1,0.04
1,--,--,--,--,1,--,--,--,--,0.66,0.71,--
2,--,1,--,--,1,--,--,0.35,0.47,1,1,0.12
3,--,1,0.16,--,1,--,--,0.51,0.64,1,1,0.29
4,--,--,--,--,--,--,--,--,--,--,--,--
5,--,1,--,--,1,--,--,0.30,0.43,1,1,0.08
6,--,1,0.06,--,1,0.11,--,0.41,0.54,1,1,0.19
7,--,0.88,--,--,1,--,--,--,0.12,1,1,--
8,--,0.75,--,--,1,--,--,--,--,1,1,--
9,--,--,--,--,0.39,--,--,--,--,--,0.05,--
10,--,--,--,--,0.34,--,--,--,--,--,--,--
11,--,1,--,--,1,--,--,0.22,0.34,1,1,--
