,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,0.23,--,1,0.35,0.05,1,0.98,1,1,0.31
1,--,--,--,--,1,--,--,--,--,0.54,0.70,--
2,--,1,--,--,1,--,--,0.86,0.74,1,1,0.07
3,--,1,0.33,--,1,0.44,--,1,1,1,1,0.40
4,--,--,--,--,--,--,--,--,--,--,--,--
5,--,0.89,--,--,1,--,--,0.74,0.63,1,1,--
6,--,1,0.18,--,1,0.29,--,1,0.93,1,1,0.26
7,--,--,--,--,1,--,--,--,--,0.69,0.85,--
8,--,0.25,--,--,1,--,--,0.11,--,0.80,0.96,--
9,--,--,--,--,0.66,--,--,--,--,--,0.16,--
10,--,--,--,--,0.50,--,--,--,--,--,--,--
11,--,0.93,--,--,1,--,--,0.78,0.67,1,1,--
