,0,1,2,3,4,5,6,7,8,9,10,11
0,--,0.41,--,--,1,--,--,--,0.34,1,1,0.04
1,--,--,--,--,1,--,--,--,--,1,1,--
2,--,0.50,--,--,1,--,--,0.05,0.43,1,1,0.13
3,--,0.62,0.11,--,1,--,0.18,0.17,0.55,1,1,0.25
4,--,--,--,--,--,--,--,--,--,--,--,--
5,0.17,0.59,0.08,--,1,--,0.14,0.13,0.51,1,1,0.21
6,--,0.44,--,--,1,--,--,--,0.37,1,1,0.07
7,--,0.45,--,--,1,--,--,--,0.37,1,1,--
8,--,0.07,--,--,1,--,--,--,--,1,1,--
9,--,--,--,--,0.34,--,--,--,--,--,0.30,--
10,--,--,--,--,0.04,--,--,--,--,--,--,--
11,--,0.37,--,--,1,--,--,--,0.30,1,1,--
