0,不错,质量,衣服,舒服,合适,穿着,好看,满意,面料,尺码,特别,物流,合身,大小,值得,舒适,很快,做工,效果,价格,款式,柔软,颜色,材质,感觉,上身,实惠,纯棉,布料,客服,适合,速度,版型,快递,手感,包装,卖家,暖和,发货,可爱,透气,帅气,精细,便宜,厚实,质感,态度,料子,京东,身上,服务,图片,色差,试穿,店家,描述,线头,轻薄,颜值,尺寸,正好,商家,品牌,划算,信号,标准,商品,正品,完美,宽松,时尚,样式,看着,放心,掉色,感受,总体,整体,漂亮,到货
不错,0,244,169,116,60,80,54,69,61,19,47,46,39,25,49,25,36,46,42,34,32,14,28,25,38,24,14,16,25,10,12,13,23,15,27,11,8,11,11,3,10,11,9,13,15,19,5,12,4,3,11,13,6,7,4,4,6,4,8,6,5,3,5,8,3,3,9,4,1,4,3,5,8,4,4,2,6,11,3,5
质量,244,0,186,112,56,46,60,66,23,24,40,45,44,36,52,11,35,30,17,41,31,15,24,13,10,8,22,19,6,13,10,15,13,12,5,9,14,14,11,7,5,10,8,12,17,4,11,5,7,6,10,11,8,3,9,10,8,4,6,6,3,6,6,5,2,6,4,4,3,5,3,3,3,8,4,0,1,2,6,2
衣服,169,186,0,147,60,85,90,40,24,23,25,35,52,31,33,23,30,18,20,13,18,23,11,13,16,10,7,21,9,14,14,5,13,16,17,7,8,14,7,25,11,22,7,3,14,7,8,7,4,9,2,5,5,4,4,7,9,6,2,5,4,4,6,6,7,1,0,2,3,1,3,10,5,4,2,0,3,1,4,4
舒服,116,112,147,0,55,194,63,32,100,36,33,12,32,28,27,6,8,19,17,16,12,25,9,23,21,16,7,37,28,7,10,1,7,7,18,5,2,12,1,11,17,4,6,4,1,7,1,20,2,15,1,7,8,5,5,2,6,10,4,8,6,3,2,2,7,5,2,3,2,6,6,1,4,4,4,11,1,4,2,1
合适,60,56,60,55,0,34,21,20,21,108,12,4,6,113,8,22,5,5,19,11,9,6,5,6,9,18,4,4,4,12,1,2,6,1,2,2,1,10,5,1,2,5,3,0,4,2,2,5,3,4,1,1,2,11,2,2,3,1,1,15,2,1,1,1,1,4,4,1,2,3,1,3,0,0,0,1,0,2,2,1
穿着,80,46,85,194,34,0,33,15,13,22,12,6,26,14,5,34,4,7,7,8,4,8,4,6,13,1,5,10,9,4,9,1,6,2,6,2,0,10,4,1,4,7,2,2,1,5,0,5,0,1,0,2,1,0,2,2,2,7,0,4,2,1,3,1,3,5,0,2,1,3,1,1,3,0,0,1,1,0,2,0
好看,54,60,90,63,21,33,0,24,27,5,20,12,12,6,13,11,8,9,8,10,23,10,30,7,4,10,3,6,6,5,3,2,15,1,3,9,4,5,1,6,3,3,0,4,2,4,2,4,1,3,0,6,4,1,0,0,2,2,5,0,1,0,1,2,0,0,0,5,4,0,3,11,4,1,0,0,2,0,2,1
满意,69,66,40,32,20,15,24,0,10,9,26,17,15,11,7,5,13,22,14,8,10,5,7,7,5,8,3,5,6,4,2,5,4,4,4,7,4,4,4,3,1,2,2,2,5,3,4,3,3,1,6,4,2,7,4,6,2,1,3,3,1,4,1,0,5,1,5,0,1,3,1,1,2,1,1,1,3,1,1,4
面料,61,23,24,100,21,13,27,10,0,12,16,8,10,13,12,35,7,25,7,6,8,44,7,17,6,6,1,9,0,1,8,3,7,3,6,2,2,2,2,0,7,2,6,1,6,8,2,0,0,7,1,3,2,3,2,1,4,0,3,2,1,1,2,0,3,3,0,1,2,1,1,1,1,2,2,0,2,1,0,1
尺码,19,24,23,36,108,22,5,9,12,0,7,4,11,31,7,24,6,5,11,2,10,2,2,6,4,9,1,3,2,14,2,3,1,0,2,0,1,1,6,1,1,4,2,0,3,2,1,2,2,1,3,0,3,1,3,0,3,0,0,1,8,1,0,0,0,24,0,1,1,3,1,0,1,0,2,3,2,0,1,0
特别,47,40,25,33,12,12,20,26,16,7,0,10,10,4,6,11,5,9,6,3,11,5,12,1,4,4,1,2,2,3,3,5,4,3,2,4,8,5,5,1,1,4,1,4,1,3,2,3,4,3,5,1,3,0,2,1,1,0,9,0,0,2,0,3,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,1
物流,46,45,35,12,4,6,12,17,8,4,10,0,6,3,12,5,85,6,7,2,2,4,2,2,0,5,1,2,1,7,0,14,0,1,1,7,3,1,4,0,1,1,2,3,2,2,5,1,10,1,3,2,0,4,0,2,0,0,1,2,0,3,0,2,1,0,6,0,0,1,0,2,0,0,0,0,1,1,0,1
合身,39,44,52,32,6,26,12,15,10,11,10,6,0,14,4,11,1,3,9,4,1,5,1,5,9,6,4,2,3,5,4,2,5,4,1,2,0,1,2,1,0,4,0,0,1,1,1,1,0,5,1,0,0,6,1,0,2,1,1,4,1,1,1,2,0,1,1,0,0,0,2,1,2,0,0,3,2,0,1,0
大小,25,36,31,28,113,14,6,11,13,31,4,3,14,0,6,17,4,4,5,1,3,5,3,6,3,2,1,2,3,4,3,1,5,1,0,0,1,6,1,1,2,3,1,0,1,1,1,2,0,1,0,0,0,6,0,3,1,0,0,7,7,0,0,1,1,1,0,1,0,2,0,3,0,0,0,3,0,1,0,0
值得,49,52,33,27,8,5,13,7,12,7,6,12,4,6,0,5,9,9,6,8,7,1,2,3,2,5,8,0,6,0,0,3,2,2,3,1,2,3,1,0,2,1,3,5,2,0,1,4,2,0,0,2,0,0,2,3,1,0,0,0,1,2,5,2,4,4,0,3,4,2,1,2,0,2,0,2,0,1,2,0
舒适,25,11,23,6,22,34,11,5,35,24,11,5,11,17,5,0,2,6,8,4,3,19,4,13,4,4,1,3,5,1,1,1,4,1,1,3,0,0,1,2,11,1,4,1,2,1,1,1,0,1,0,2,1,1,1,0,1,6,1,3,3,0,2,1,0,1,0,0,1,5,1,2,0,0,1,1,1,1,2,2
很快,36,35,30,8,5,4,8,13,7,6,5,85,1,4,9,2,0,2,3,3,1,2,2,3,1,3,2,0,3,3,0,29,1,26,0,2,2,2,19,1,1,0,1,2,3,1,0,0,6,0,2,2,0,2,1,2,0,1,0,0,0,2,0,2,0,0,5,1,0,0,0,2,0,0,0,0,0,1,1,3
做工,46,30,18,19,5,7,9,22,25,5,9,6,3,4,9,6,2,0,2,2,11,1,5,5,1,1,2,2,7,2,2,2,2,0,5,0,2,1,1,2,2,1,38,0,0,4,0,1,0,0,0,0,3,1,0,0,8,0,1,0,1,0,1,1,1,1,1,2,2,1,2,2,2,3,1,0,0,0,0,1
效果,42,17,20,17,19,7,8,14,7,11,6,7,9,5,6,8,3,2,0,2,7,2,3,2,4,66,3,0,2,1,0,0,2,1,3,1,0,0,0,0,1,1,0,0,0,4,0,0,0,3,0,0,2,5,0,2,0,0,1,1,0,1,0,0,4,0,0,0,1,0,1,1,0,3,1,0,0,2,0,1
价格,34,41,13,16,11,8,10,8,6,2,3,2,4,1,8,4,3,2,2,0,5,2,1,2,1,0,46,1,0,0,5,1,1,5,1,1,2,2,0,0,1,2,1,12,1,1,1,1,1,0,0,0,1,1,1,2,0,1,1,0,0,3,1,4,0,0,2,2,2,0,1,0,0,1,0,0,0,0,0,1
款式,32,31,18,12,9,4,23,10,8,10,11,2,1,3,7,3,1,11,7,5,0,2,8,6,0,5,2,1,3,1,2,1,0,1,1,2,0,1,0,2,0,3,1,4,2,2,1,0,0,2,0,2,1,1,0,1,0,0,1,1,0,1,2,0,1,3,3,0,2,1,5,0,0,1,1,0,1,0,2,0
柔软,14,15,23,25,6,8,10,5,44,2,5,4,5,5,1,19,2,1,2,2,2,0,3,3,3,0,0,4,11,0,3,2,0,1,6,1,0,0,0,7,6,1,1,0,1,2,0,2,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0
颜色,28,24,11,9,5,4,30,7,7,2,12,2,1,3,2,4,2,5,3,1,8,3,0,0,1,1,0,1,2,1,1,0,3,0,1,2,0,1,1,1,1,0,1,0,0,1,0,0,0,4,0,5,5,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0
材质,25,13,13,23,6,6,7,7,17,6,1,2,5,6,3,13,3,5,2,2,6,3,0,0,2,2,0,2,2,3,3,0,2,0,2,1,0,1,2,1,3,2,2,1,4,2,1,0,0,1,0,0,1,0,0,0,1,0,5,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
感觉,38,10,16,21,9,13,4,5,6,4,4,0,9,3,2,4,1,1,4,1,0,3,1,2,0,1,1,0,1,1,3,0,1,0,2,1,0,0,1,0,2,1,0,0,1,2,0,3,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,3,0,1
上身,24,8,10,16,18,1,10,8,6,9,4,5,6,2,5,4,3,1,66,0,5,0,1,2,1,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,1,2,0,1,0,1,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
